OBJECTID,Distance,BUFF_DIST,FID_LACountyCensusTract2010_Project,OBJECTID_1,GEOID10,CT10,LABEL,Shape__Are,Shape__Len,CT10Long,AreaSq,CT_Long,Shape_Length,Shape_Area
1,3,15840,665,666,06037208301,208301,2083.01,135780.2969,1910.016356,208301,0.03587240531,208301,5183.161377,1000513.051
2,3,15840,666,667,06037207502,207502,2075.02,611013.4102,3371.727518,207502,0.1614601441,207502,6885.861108,1629672.165
3,3,15840,667,668,06037207301,207301,2073.01,628028.7031,4491.297948,207301,0.1659803128,207301,2056.632374,154737.2265
4,3,15840,668,669,06037207102,207102,2071.02,606241.1367,3651.337694,207102,0.1601733302,207102,9909.642845,4467442.226
5,3,15840,669,670,06037207101,207101,2071.01,438488.2109,2844.539464,207101,0.1158469008,207101,7720.181784,3231108.87
6,3,15840,670,671,06037207501,207501,2075.01,196192.0117,1803.184031,207501,0.05183920863,207501,4896.765729,1445854.363
7,3,15840,672,673,06037206031,206031,2060.31,6908250.273,13649.52996,206031,1.82638228,206031,7434.209883,2598092.436
8,3,15840,689,690,06037206020,206020,2060.20,1272359.695,4431.626989,206020,0.3361790985,206020,12030.50587,9376515.674
9,3,15840,691,692,06037207400,207400,2074.00,1269816.188,5588.749577,207400,0.3355232753,207400,14543.55818,9081636.92
10,3,15840,936,937,06037208903,208903,2089.03,232668.4727,2594.575731,208903,0.06147309186,208903,2092.761563,165716.6002
11,3,15840,937,938,06037209102,209102,2091.02,445236.5156,3082.166639,209102,0.117647735,209102,423.5163615,3474.826143
12,3,15840,939,940,06037208904,208904,2089.04,163747.8672,1682.050216,208904,0.04326378323,208904,2431.511084,269628.685
13,3,15840,941,942,06037209200,209200,2092.00,600554.3945,3223.235516,209200,0.1586915191,209200,4997.214752,1191257.925
14,3,15840,1131,1132,06037203600,203600,2036.00,808186.2734,3934.405177,203600,0.2135651008,203600,1723.298401,135826.8409
15,3,15840,1189,1190,06037203300,203300,2033.00,2179057.738,5748.973534,203300,0.5757068301,203300,14522.92195,11975169.29
16,3,15840,1190,1191,06037203100,203100,2031.00,960300.3281,4361.190798,203100,0.2537141651,203100,2147.694698,167745.1379
17,3,15840,1191,1192,06037203500,203500,2035.00,2421216.324,6927.048838,203500,0.6397466121,203500,15294.12892,13652465.62
18,3,15840,1208,1209,06037209104,209104,2091.04,102184.7148,1415.292259,209104,0.02699837746,209104,3324.781292,575060.8592
19,3,15840,1209,1210,06037209103,209103,2091.03,181136.4883,1729.669189,209103,0.04786067486,209103,3074.580595,564724.9826
20,3,15840,1211,1212,06037208801,208801,2088.01,392130.5977,2875.382345,208801,0.1036038176,208801,536.8031224,11005.71663
21,3,15840,1212,1213,06037206032,206032,2060.32,1435461.215,5036.880299,206032,0.3793647725,206032,5049.729037,840288.1927
